Time,PM,CF,CL,CC,TC,QA
0,100,100,100,100,100,100
30,99.33,99.96,99.33,99.13,94.14,98.5
90,99.08,99.08,99.08,98.04,89.73,95.76
210,78.89,66,76.6,82.63,45.85,76.19
270,71.16,48.3,53.7,75.73,31.68,61.6
365,68.21,41.19,48.88,72.16,27.69,49.3
