species, type, N-fixer, material, amount, carbon, nitrogen, C:N, phosphorus, potassium, sodium, magnesium, manganese, copper, zinc, lead, calcium, sulfur, iron, lignin, cellulose, hemicellulose, cell solubles, SLA
Pinus massoniana, evergreen, no, leaves, 10,,,,,,,,,,,,,,, 35.03, 19.79
Cryptomeria fortunei, evergreen, no, leaves, 10,,,,,,,,,,,,,,, 36.2, 25.04
Cunninghamia lanceolata, evergreen, no, leaves, 10,,,,,,,,,,,,,,,  38.66, 24.3
Cinnamomum camphora, evergreen, no, leaves, 10,,,,,,,,,,,,,,, 38.81, 21.98
Toona ciliata, deciduous, no, leaves, 10,,,,,,,,,,,,,,, 38.93, 17.6
Quercus acutissima, deciduous, no, leaves, 10,,,,,,,,,,,,,,, 38.77, 20.4
