Time,CTRL,CR,SS,RFCR
0,100,100,100,100
14,100,100,100,100
28,97.68,97.35,96.03,96.03
42,92.06,90.74,88.75,86.10
56,83.46,81.80,79.82,73.53
70,77.50,73.20,70.88,68.24
84,73.53,66.91,59.96,54.01
