Time,ACF,ASW,ASF,ECW,ECF,EOW,EOF,FFW,FFF,FBW,FBF
0,100,100,100,100,100,100,100,100,100,100,100
161,84.211,91.53,82.74,75.342,83.304,89.75,83.755,92.388,90.915,87.113,93.94
346,51.324,58.082,46.575,61.46,50.979,65.988,70.846,75.505,76.401,75.721,74.797
