Time, Hl_S, Hl_U, Ld_S, Ld_U, Ap_S, Ap_U, Sc_S, Sc_U, Lc_S, Lc_U, Asi_S, Asi_U, Sk_S, Sk_U, Ac_S, Ac_U, Ck_S, Ck_U, Sg_S, Sg_U, Cm_S, Cm_U, Asp_S, Asp_U, Nt_S, Nt_U
0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
6,77.388,62.895,75.489,43.276,88.547,71.788,76.722,64.354,84.984,71.009,88.364,79.888,85.55,75.422,88.162,81.477,72.689,48.599,59.488,48.039,66.913,61.034,69.4,56.461,31.253,19.522
9,56.236,43.891,47.548,23.057,73.184,54.469,61.364,43.014,62.535,52.466,72.604,62.011,68.348,54.143,69.29,60.934,47.129,18.978,45.729,34.163,45.74,45.282,55.337,37.061,23.244,6.888
12,50.842,37.924,40.336,15.406,58.939,36.592,57.301,43.74,49.86,35.184,65.349,49.721,53.672,37.36,55.433,50.419,40.907,17.367,48.739,27.747,44.105,37.71,47.479,33.989,13.483,5.056
