Time, Cm_L, Tc_L, Pc_L, Ap_L, Es_L, Kca_L, Mt_L, As_L, Ed_L, Aa_L, Eg_L, Eo_L, Et_L, Kce_L, Cs_L, Ph_L, Ns_L, Cm_B, Tc_B, Pc_B, Ap_B, Es_B, Kca_B, Mt_B, As_B, Ed_B, Aa_B, Eg_B, Eo_B, Et_B, Kce_B, Cs_B, Ph_B, Ns_B, Cm_S, Tc_S, Pc_S, Ap_S, Es_S, Kca_S, Mt_S, As_S, Ed_S, Aa_S, Eg_S, Eo_S, Et_S, Kce_S, Cs_S, Ph_S, Ns_S
0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
6,93.6,92.2,91.7,90.9,88.2,86.4,86.6,84.2,79.4,76.7,75.4,67.9,67.1,66.8,65,59.6,54.5,93.3,73,82.4,82.4,78.9,89,86.6,79.4,71.4,76.2,73.8,79.9,63.4,63.4,62.6,57.8,43.9,96.8,94.1,92.8,93.9,85.3,88.5,89.3,89.3,82.6,86.9,89.8,74.9,71.4,74.9,74.1,67.4,62
9,76.7,63.1,74.1,67.6,86.1,69.5,74.9,61.8,57.8,61.8,63.9,68.2,0,49.5,55.6,47.9,38.2,72.5,48.9,49.2,49.5,46.3,75.9,62.3,54.8,46,52.4,0,63.4,0,33.4,47.3,36.1,17.9,88.2,73,85.3,78.9,88.5,87.2,86.1,72.2,65.2,83.2,0,82.1,0,69.8,68.4,58.3,52.7
12,65.1,48,60.8,51.2,63.2,56,61.1,50.1,42.1,49.9,34.9,59.5,45.9,29.9,38.1,39.5,31.2,66.4,46.1,39.2,45.1,45.9,62.7,50.7,54.1,35.5,42.1,50.7,58.1,37.6,36.3,39.5,30.1,21.6,78.7,59.7,75.5,70.7,68.8,72.3,81.1,64.3,55.5,74.4,78.9,63.7,63.2,53.9,63.7,50.9,42.1
