species,type,N-fixer,material,amount,carbon,nitrogen,C:N,phosphorus,potassium,sodium,magnesium,manganese,copper,zinc,lead,calcium,sulfur,iron,lignin,cellulose,hemicellulose,cell solubles,SLA
Guiera senegalensis1,evergreen,no,leaves,,35.4,1.6,21,,,,,,,,,,,,10.3,21.6,12.8,
Guiera senegalensis2,evergreen,no,stems,,31.19,1.1,29.3,,,,,,,,,,,,23.3,60.9,13.6,
Guiera senegalensis3,evergreen,no,aboveground parts,,26,1.3,25.62,,,,,,,,,,,,18.1,45.2,13.3,
Piliostigma reticulatum1,evergreen,no,leaves,,35.2,1.8,20,,,,,,,,,,,,13.1,19.8,13.0,
Piliostigma reticulatum2,evergreen,no,stems,,32.7,0.8,31.7,,,,,,,,,,,,13.9,60.8,13.3,
Piliostigma reticulatum3,evergreen,no,aboveground parts,,33.7,1.2,27,,,,,,,,,,,,13.6,44.4,13.2,
