Time,NV250PN,NV250SP,NV250MS,NV250PP,PP250PN,PP250SP,PP250MS,PP250PP,NV650PN,NV650SP,NV650MS,NV650PP,PP650PN,PP650SP,PP650MS,PP650PP,NV1100PN,NV1100SP,NV1100PP,NV1100NA,PP1100PN,PP1100SP,PP1100PP,PP1100NA
0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
4,85.93,90.72,97.73,96.62,96.95,99.75,100.51,100.76,81.69,80.83,96.19,96.19,92.47,89.52,100.45,100.75,80.51,93.38,96.46,90.03,84.61,89.65,91.88,87.13
9,55.25,71.84,75.90,84.75,64.44,88.06,80.95,92.63,58.25,61.33,73.76,84.37,68.80,81.93,78.29,91.04,57.41,81.19,85.67,68.88,55.64,81.93,82.77,63.47
12,45.62,66.27,75.48,81.75,60.89,86.79,79.43,91.87,45.81,54.97,71.61,83.23,61.26,76.77,80.41,91.04,47.69,73.43,80.42,56.09,57.11,82.28,80.32,62.42
24,22.21,39.54,55.76,55.39,42.86,73.08,66.22,82.98,18.53,22.46,47.96,61.17,50.54,63.72,68.88,84.66,21.12,51.33,64.48,33.99,42.84,65.78,76.41,49.27
