species, type, N-fixer, material, amount, carbon, nitrogen, C:N, phosphorus, potassium, sodium, magnesium, manganese, copper, zinc, lead, calcium, sulfur, lignin, cellulose, hemicellulose, cell solubles, SLA
Quercus canariensis, deciduous, no, leaves, 2, 43.68, 1.24, 35.4, 0.100, 0.544,, 0.211,  0.0864, 0.000546, 0.002228,, 1.484, 0.01,,,,,
Quercus suber, evergreen, no, leaves, 2, 46.03, 0.88, 53.0, 0.062, 0.447,, 0.143, 0.1075, 0.000472, 0.001705,, 0.925, 0.078,,,,,
