Time,LgG,LgE,LmM,LmE,LeE,LeG,LeM,SgG,SgE,SmM,SmE,SeE,SeG,SeM,KgG,KgE,KmM,KmE,KeE,KeG,KeM,GHAv,GDAv,MHAv,MDAv,EHAv,EGAv,EMAv
0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
3,93.572,92.026,91.987,93.268,91.153,92.892,92.435,95.511,94.575,91.863,93.26,93.685,94.991,93.94,93.874,94.465,95.288,94.108,93.333,93.333,94.359,94.797,93.695,92.252,93.815,92.035,92.193,92.997
5,93.006,91.254,91.175,92.969,92.347,94.879,95.167,92.349,93.754,90.129,92.6,94.086,93.712,93.205,89.609,89.577,92.922,90.863,92.821,92.821,90.769,91.807,91.467,91.202,92.745,91.915,92.084,92.499
7,89.32,88.167,91.388,90.102,90.467,92.007,92.146,85.49,87.648,89.807,87.507,86.356,89.074,88.082,88.706,88.965,92.22,90.894,92.218,89.744,91.434,88.377,88.049,91.179,89.893,88.933,88.933,89.809
9,81.479,81.257,84.936,81.829,85.189,89.87,86.269,84.744,85.675,84.374,80.355,85.423,88.747,86.42,81.098,77.227,79.489,81.707,82.309,86.41,82.152,82.266,81.604,83.955,81.44,84.215,88.308,83.531
12,68.783,63.215,69.999,68.2,73.495,75.275,76.664,72.987,68.46,70.478,68.865,72.175,75.018,74.821,62.065,54.323,63.34,61.033,65.385,66.923,71.965,68.102,61.918,68.747,66.068,69.552,71.209,73.295
20,60.643,55.753,65.469,61.104,65.745,67.799,69.657,67.051,62.477,65.879,63.834,66.074,65.076,68.159,53.035,46.841,54.95,51.308,56.093,58.462,61.453,59.993,54.641,62.79,59.4,61.992,62.705,65.816
24,54.09,47.01,54.613,50.744,55.373,56.144,58.202,59.485,56.664,59.461,57.826,60.491,60.756,64.098,41.942,32.652,45.375,42.357,46.985,47.157,50.769,51.47,45.211,53.441,50.393,53.12,53.681,57.272
