Time, Du, Td, Tc, Lp, Ap, Ct, Ea, Gpa, Gpu, Pcy, Aa, Bari, Cf, Cs, Ft, Ju, Ml, Mp, Nl, Ni, Pca, Pq, Ps, Smi, Sp, Sh, Tcr, Bart, Sa, Aar, Aca, Ac, Bs, Cp, Cta, Csa, Ev, Fc, Mc, Pa, Pf, Sha, Zm, Aqb, Cat, Hal, Ld, Lte, Apat, Mvi, Os, Ta
0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
9,42.46,18.76,46.08,9.18,18.01,9.16,22.53,10.4,4.71,2.48,47.51,34.97,70.34,47.99,44.46,34.76,36.15,32.78,36.97,2.71,24.05,55.38,36.48,54.79,21.98,19.91,41.37,47.3,59.44,29.71,43.58,11.25,39.62,16.89,18.33,6.33,7.18,9.02,11.08,22.67,27.14,50.01,46.48,37.07,10.99,42.69,10.18,42.54,17.18,33.91,40.44,41.13
18,34.73,6.2,15.99,5.93,8.12,3.54,4.85,1.89,1.94,1.49,23.38,15.76,36.91,21.64,20.34,7.69,20.08,11.2,26.69,2.21,14.38,35.32,11.95,29.9,6.52,6.42,22.88,28.91,37.7,15.81,20.31,2.83,22.37,2.24,11.35,2.82,2.38,2.04,4.22,11.56,7.64,28.7,31.18,8.24,3.31,7.48,3.87,13.19,9.15,24.41,32.11,33.64
