Time,N0SFRN0,N0SFR+N,N0LFRN0,N0LFR+N,+NSFRN0,+NLFRN0,+NSFR+N,+NLFR+N
0,100,100,100,100,100,100,100,100
0.5,72.32,69.5,61.98,63.64,72.54,73.22,66.11,72.23
1,62.41,64.73,55.37,56.36,66.6,58.68,68.14,58.68
2,58.51,60.17,53.72,53.39,61.37,46.61,59.26,53.39
