Time,Pc,Ds,Vl,Vn
0,100,100,100,100
1,60.28,63.14,70.94,65.74
2,38.64,45.14,56.84,51.12
3,24.54,33.12,46.64,38.32
4,19.80,26.30,39.04,29.94
5,14.80,19.48,27.54,23.64
6,4.86,11.36,21.50,20.20
7,,4.80,16.76,15.20
8,,,12.54,9.68
9,,,4.16,4.16
