species, type, N-fixer, material, amount, carbon, nitrogen, C:N, phosphorus, potassium, sodium, magnesium, manganese, copper, zinc, lead, calcium, sulfur, iron, lignin, cellulose, hemicellulose, cell solubles, SLA
Mixture1, graminoid,, aboveground parts, 8, 44.1, 0.87, 49,,,,,,,,,,,, 5.5
Mixture2, graminoid,, roots, 6, 46, 1.13, 41,,,,,,,,,,,, 19.5
Mixture3, graminoid,, aboveground parts, 8, 43.8, 0.85, 52,,,,,,,,,,,, 6.3
Mixture4, graminoid,, aboveground parts, 8, 44.5, 0.5, 90,,,,,,,,,,,, 7.1
Mixture5, graminoid,, aboveground parts, 8, 43.8, 0.77, 58,,,,,,,,,,,, 5
Mixture6, graminoid,, roots, 6, 45.8, 1.04, 44,,,,,,,,,,,, 23
Mixture7, graminoid,, roots, 6, 35.7, 0.83, 43,,,,,,,,,,,, 20
Mixture8, graminoid,, roots, 6, 37.8, 1.01, 38,,,,,,,,,,,, 20.4
