Time,AcC,AcN,AcW,AcWN,SkC,SkN,SkW,SkWN,AfC,AfN,AfW,AfWN
0,100,100,100,100,100,100,100,100,100,100,100,100
1,90.407,87.599,82.709,82.355,92.863,85.752,89.083,87.425,80.739,76.11,80.574,76.749
2,81.697,72.859,70.979,66.842,81.49,70.676,78.388,71.606,67.802,60.286,62.839,61.538
3,59.513,59.651,54.712,51.658,54.471,56.704,47.952,52.038,49.346,50.237,46.563,49.467
