Time,broom,mallee,forest
0,100,100,100
16,,96.68,86.71
23,,85.05,79.42
36,,81.42,
44,93.20,78.24,82.25
52,85.03,,
64,,71.43,81.62
72,86.68,64.24,61.42
82,85.88,66.15,70.81
91,79.34,,
100,,64.45,73.88
