Time,MS,FG,TL
0,100,100,100
30,68.664,77.107,84.717
60,50.699,67.703,75.789
90,47.241,60.440,67.575
120,43.427,56.150,63.761
150,39.017,51.503,58.400
180,37.224,48.402,55.656
360,35.027,47.155,55.004
540,32.710,44.007,51.498
