Time,RGSH,RGSA,RGA,RSSH,RSSA,RSA,RASH,RASA,RAA,RPSH,RPSA,RPA,RDSH,RDSA,RDA,DGSH,DGSA,DGA,DSSH,DSSA,DSA,DASH,DASA,DAA,DPSH,DPSA,DPA,DDSH,DDSA,DDA
0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
1,66.37,91.32,76.68,81.84,73.81,83.98,80.92,71.53,66.69,86.23,92.94,89.72,92.23,87.25,97.21,111.46,102.11,96.73,109.12,93.22,88.30,97.46,99.08,88.24,100.23,101.15,56.89,98.85,96.33,97.71
2,66.37,79.12,67.19,81.60,43.61,63.41,80.91,70.70,36.34,98.02,82.45,49.70,94.15,82.53,88.62,97.89,89.24,96.49,100.47,96.96,90.41,95.62,99.31,93.31,98.39,97.23,48.36,98.62,94.50,96.79
4,32.47,63.39,64.20,58.13,34.31,62.67,54.83,56.71,32.28,78.93,43.23,57.19,78.89,68.65,81.66,102.81,92.51,86.43,99.30,74.04,87.13,81.56,97.46,91.93,77.41,95.39,20.69,99.54,94.27,83.95
8,14.85,51.19,35.73,20.27,64.15,17.18,18.79,4.83,50.94,51.75,34.03,84.91,61.66,73.29,88.30,84.33,89.47,96.96,95.09,88.77,45.82,88.24,84.09,89.63,80.40,11.47,101.60,94.27,81.20,81.2
14,,25.69,27.59,19.93,35.72,2.85,12.52,6.08,26.95,14.07,34.20,61.83,49.10,15.05,39.18,43.86,46.20,58.36,46.43,69.12,36.83,17.23,52.28,44.90,4.32,83.95,69.05,19.77,69.05,19.77
