Time,ww3y,ww15y,Eang,Tram,Hamm,Aspa
0,100,100,100,100,100,100
30,79.52,77.49,87.19,88.88,86.96,83.4
60,71.72,67.76,75.09,79.21,82.93,73.33
90,68.92,63.94,72.34,76.28,76.39,69.83
120,62.09,58.46,70.36,74.35,71.57,64.51
150,56.19,51.89,66.43,71.83,66.34,61.59
