Time,Chirpine,Cupressus,Oak
0,100,100,100
4,94.64,92.71,83.93
8,90.18,87.05,75
12,86.01,81.99,68.3
16,82.59,78.72,61.01
20,80.8,77.08,58.18
24,80.8,76.04,57.74
28,79.46,75.6,55.65
32,78.57,74.11,54.32
