species, type, N-fixer, material, amount, carbon, nitrogen, C:N, phosphorus, potassium, sodium, magnesium, manganese, copper, zinc, lead, calcium, sulfur, iron, lignin, cellulose, hemicellulose, cell solubles, SLA
Artemisia halodendron1, deciduous, no, fine roots, 5, 49.2, 0.6, 89, 0.19,,,,,,,,,,, 17.3,
Artemisia halodendron2, deciduous, no, leaves, 5, 44.6, 1.83, 25, 0.31,,,,,,,,,,, 6.3,
Setaria viridis1, graminoid, no, fine roots, 5, 47.3, 1.15, 39, 0.09,,,,,,,,,,, 11.4,
Setaria viridis2, graminoid, no, leaves, 5, 42.3, 1.24, 34, 0.16,,,,,,,,,,, 10.5,
Phragmites australis1, graminoid, no, fine roots, 5, 41.4, 0.72, 58, 0.12,,,,,,,,,,, 12.6,
Phragmites australis2, graminoid, no, leaves, 5, 39.6, 0.96, 42, 0.17,,,,,,,,,,, 15.7,
