Time,PL,PA,SL,SA,CL,CA
0,100,100,100,100,100,100
1,92.302,77.657,80.157,97.284,70.98,93.415
2,71.037,71.915,61.076,79.431,53.303,68.048
4,34.191,68.006,47.002,63.491,34.772,48.803
6,33.425,54.972,40.608,50.416,23.935,36.044
8,29.65,50.444,39.576,52.28,21.915,32.408
12,26.504,38.577,35.912,44.041,21.003,33.727
