Time,FRS,FRG,FRB,LS,LG,LB,SS,SG,SB
0,100,100,100,100,100,100,100,100,100
38,93.763,82.964,71.35,91.429,85.534,74.285,92.754,89.856,81.97
70,91.605,80.813,65.053,90.011,81.345,74.286,92.009,90.574,84.058
98,92.425,83.073,65.807,89.269,83.554,73.571,91.28,89.842,83.333
126,91.085,81.013,61.145,92.143,85.955,66.7,91.304,90.517,81.379
160,73.114,76.81,48.753,80.741,71.429,51.367,92.754,91.98,72.372
191,66.127,75.479,35.192,77.158,76.672,35,86.232,87.137,51.874
