 Time,CTLQ,WLQ,RRLQ,WRRLQ,CTCC,WCC,RRCC,WRRCC,CTLC,WLC,RRLC,WRRLC
0,100,100,100,100,100,100,100,100,100,100,100,100
6,89.7104,90.5773,89.9169,89.3395,73.75,79.158,75.469,80.198,74.199,80.372,77.05,80.342
18,82.9864,84.9369,85.3701,83.6831,56.939,64.841,61.712,67.031,57.009,67.838,65.265,70.872
