Time,AN0,AN8,AN16,AN32,SN0,SN8,SN16,SN32,AWN0,AWN8,AWN16,AWN32,SWN0,SWN8,SWN16,SWN32,AWAN0,AWAN8,AWAN16,AWAN32,SWAN0,SWAN8,SWAN16,SWAN32
0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
35,92.499,92.321,91.39,89.475,85.419,84.79,84.356,84.067,91.621,90.938,90.697,89.143,85.657,85.271,83.699,82.512,91.739,90.643,90.329,89.307,85.762,85.277,83.429,82.738
70,89.416,88.286,88.328,86.897,77.52,76.942,77.644,75.327,87.321,86.457,85.475,84.017,77.938,77.23,74.591,73.075,87.723,86.298,85.452,83.714,78.082,77.426,74.314,73.114
100,87.57,86.959,85.96,84.89,73.563,73.311,72.544,71.571,85.537,83.918,82.469,80.442,73.875,72.781,71.076,69.136,85.941,83.96,82.376,80.99,74.135,72.62,71.266,69.475
