Time,CA,CS,HA,HB,TB,CAB,CSB,HAB,HBB,TBB
0,100,100,100,100,100,100,100,100,100,100
60,96.838,94.988,92.9,96.131,88.734,67.051,77.345,34.647,81.422,51.091
120,86.599,82.103,57.824,86.486,59.622,49.588,66.962,28.571,68.232,32.808
180,80.12,77.457,51.597,83.054,55.068,46.245,54.726,22.678,63.364,31.086
240,61.535,71.941,48.36,81.752,53.929,43.299,54.147,18.846,54.006,28.059
360,59.982,67.027,41.113,80.622,52.345,42.464,31.02,18.157,53.917,25.243
420,56.873,63.388,30.644,76.425,50.346,37.42,29.09,16.779,48.387,24.885
