species, type, N-fixer, material, amount, carbon, nitrogen, C:N, phosphorus, potassium, sodium, magnesium, manganese, copper, zinc, lead, calcium, sulfur, iron, lignin, cellulose, hemicellulose, cell solubles, SLA
Vitex doniana1, deciduous, no, leaves, 20, 24.41, 1.54, 15.85
Terminalia avicennioides1, deciduous, no, leaves, 20, 16.37, 1.41, 11.61
Sarcocephalus latifolius1, deciduous, no, leaves, 20, 24.34, 1.54, 15.81
Parinari curatellifolia1, evergreen, no, leaves, 20, 22.35, 1.39, 16.08
Vitex doniana2, deciduous, no, leaves, 20, 27.21, 1.56, 17.44
Terminalia avicennioides2, deciduous, no, leaves, 20, 16.47, 1.47, 11.2
Sarcocephalus latifolius2, deciduous, no, leaves, 20, 26.76, 1.54, 17.38
Parinari curatellifolia2, evergreen, no, leaves, 20, 26.25, 1.38, 19.02
