Time,DVd,DTa,DSl,DPc,WVd,WTa,WSl,WPc
0,100,100,100,100,100,100,100,100
14,99.53,94.66,97.57,97.57,96.59,92.06,95.82,95.56
28,98.59,95.60,89.63,87.43,94.63,87.93,87.10,92.26
42,97.49,83.43,83.90,84.76,89.17,81.90,82.20,88.03
56,96.23,82.09,82.33,81.70,84.58,79.11,78.18,80.97
