Time,	TraC_N,	TraC_A,	TraC_R,	TraB_N,	TraB_A,	TraB_R,	Lla_N,	Lla_A,	Lla_R
0,	100,	100,	100,	100,	100,	100,	100,	100,	100
48,	94.35,	95.34,	97.03,	77.22,	90.04,	91.74,	81.86,	96.49,	95.46
91,	95.05,	97.31,	96.33,	77.51,	89.47,	93.31,	81.86,	94.85,	93.40
180,	77.81,	93.64,	90.25,	63.56,	83.20,	81.07,	50.93,	87.42,	87.84
363,	72.01, 94.49,	91.94,	57.15,	80.78,	79.36,	41.86,	76.29,	75.05
