species, type, N-fixer, material, amount, carbon, nitrogen, C:N, phosphorus, potassium, sodium, magnesium, manganese, copper, zinc, lead, calcium, sulfur, iron, lignin, cellulose, hemicellulose, cell solubles, SLA
Agropyron intermedium, graminoid, no, aboveground parts, 3,
Hordeum bulbosum, graminoid, no, aboveground parts, 3,
Juncus sp., graminoid, no, aboveground parts, 3,
