Time,AD,AF,SA,ME
0,100,100,100,100
3,85.226,79.594,80.517,80.517
6,77.562,72.576,79.04,76.085
9,78.393,71.56,78.301,74.885
12,67.959,64.635,71.653,69.898
24,59.187,53.74,52.262,55.679
