species, type, N-fixer, material, amount, carbon, nitrogen, C:N, phosphorus, potassium, sodium, magnesium, manganese, copper, zinc, lead, calcium, sulfur, iron, silica, lignin, cellulose, hemicellulose, cell solubles, SLA
Bouteloua eriopoda, graminoid, no, leaves, 5, 43.72, 0.64, 68.31,,,,,,,,,,,, 2.27, 8.31, 30.77
Juniperus monosperma, evergreen, no, leaves, 5, 49.1, 0.75, 65.47,,,,,,,,,,,, 0.41, 8.38, 20.22
Larrea tridentata, evergreen, yes, leaves, 5, 49.21, 2.32, 21.21,,,,,,,,,,,, 0.89, 5.2, 8.78
Oryzopsis hymenoides, graminoid, no, leaves, 5, 42.97, 0.61, 70.45,,,,,,,,,,,, 3.34, 7.41, 33.88
Bouteloua gracilis, graminoid, no, leaves, 5, 42.72, 0.61, 70.03,,,,,,,,,,,, 2.5, 11.03, 38.09
