Time,	Ste_L,	Scl_L,	Pli_L,	Ste_R,	Scl_R, Pli_R
0,	100,	100,	100,	100,	100,	100
273,	83.70,	69.40,	66.34,	76.05,	67.23,	76.05
480,	81.06,	64.95,	63.97,	67.37,	64.43,	69.05
629,	77.62,	58.04,	58.87,	60.50,	51.26,	56.58
