Time,AUVPA,AUVPW,AUVBA,AUVBW,SUVPA,SUVPW,SUVBA,SUVBW
0,100,100,100,100,100,100,100,100
138,92.929,93.355,92.752,93.566,97.279,97.941,94.506,97.045
385,57.934,58.477,67.196,67.663,68.117,70.054,65.626,70.607
498,40.636,42.821,56.742,56.489,58.773,62.397,61.105,62.121
757,40.034,33.976,39.853,37.621,45.024,44.95,49.485,45.503
