species, type, N-fixer, material, amount, carbon, nitrogen, C:N, phosphorus, potassium, sodium, magnesium, manganese, copper, zinc, lead, calcium, sulfur, iron, lignin, cellulose, hemicellulose, cell solubles, SLA
Avena fatua, graminoid, no, leaves, 2, 41.67, 0.78, 53.42,,,,,,,,,,,, 4.09, 36.41, 30.00, 29.49,
Salvia mellifera, evergreen, no, leaves, 2, 48.19, 0.71, 67.87,,,,,,,,,,,, 9.96, 13.70, 5.18, 71.5,
