Time, CGL, CGOTG, CGCTG, LL, OTGL, CTGL, LMp, LPs, OTGMp, OTGPs, CTGMp, CTGPs
0, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100
75, 91.82,	94.54, 95.61, 73.76, 86.27,	79.64, 80.62, 85.82,	83.05, 88.76,	73.76, 84.35
198, 82.06,	85.19, 85.49, 69.93, 79.00,	72.57, 70.80, 78.40,	74.93, 83.08,	67.29, 75.95
