Time, TR, UVBB, TB, TR_B, UVBB_B, TB_B, NOA, CA, NA, CNA
0, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100
0.3, 95.68, 94.39, 95.77, 95.7, 92.15, 94.58, 97.62, 95.08, 96.19, 95.0
0.6, 86.08, 92.98, 95.29, 82.98, 90.94, 94.1, 80.4, 79.13, 80.24, 79.13
1, 70.56, 74.47, 87.3, 71.38, 77.63, 88.62, 73.89, 73.02, 69.05, 70.63
1.5, 59.42, 71.66, 80.6, 57.38, 73.63, 80.54, 52.3, 55.95, 54.21, 55.95
