Time,S1Y1pps,S1Y1ppss,S1Y1hbs,S1Y1hbss,S1Y2pps,S1Y2ppss,S1Y2hbs,S1Y2hbss,S3Y1pps,S3Y1ppss,S3Y1hbs,S3Y1hbss,S3Y2pps,S3Y2ppss,S3Y2hbs,S3Y2hbss
0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
30,42.75,13.64,31.11,24.6,87.2,70.59,92.39,68.86,71.72,42.93,69.45,48.23,83.52,62.84,82.02,62.85
60,26.94,8.11,25.91,15.3,76.82,47.06,83.74,50.87,54.42,24.88,37.76,20.33,79.07,57.64,76.82,50.12
90,23.12,7.36,18.67,12.84,72.32,36.33,75.09,40.48,40.53,14.39,33.71,15.91,72.37,36.65,69.36,40.79
120,20.32,1.83,16.55,10.73,56.75,28.03,46.71,32.87,35.36,14.52,32.71,11.49,64.16,29.2,61.15,29.57
150,17.52,0.74,10.33,4.51,37.72,20.76,33.91,21.11,22.23,12.37,27.91,12.37,53.7,17.61,43.93,28.51
180,2.06,0,2.74,0.34,22.84,11.42,25.26,14.53,19.7,9.47,26.52,1.14,40.98,11.28,39.48,20.68
