Time,XUVPLT,XUVPMT,XUVPHT,XUVBLT,XUVBMT,XUVBHT,PUVPLT,PUVPMT,PUVPHT,PUVBLT,PUVBMT,PUVBHT
0,100,100,100,100,100,100,100,100,100,100,100,100
2,89.214,92.826,95.092,91.131,94.78,95.349,96.262,96.908,97.719,97.21,97.095,99.097
4,72.679,82.549,84.436,82.927,85.285,86.355,84.77,88.34,90.495,92.506,88.777,94.009
6,69.092,77.721,80.906,84.231,80.385,83.338,85.409,88.293,89.999,87.254,88.914,92.452
