Time,	10mm,	2mm,	001mm,	001mmF
0,	100,	100,	100,	100
4,	96.47,	98.03,	96.90,	98.59
9,	88.93,	88.71,	90.55,	94.29
12,	88.79,	88.10,	84.99,	89.36
16,	83.05,	84.34,	85.37,	91.06
24,	70.94,	77.14,	72.86,	85.67
36,	69.15,	69.20,	67.27,	88.57
