species, type, N-fixer, material, amount, carbon, nitrogen, C:N, phosphorus, potassium, sodium, magnesium, manganese, copper, zinc, lead, calcium, sulfur, iron, lignin, cellulose, hemicellulose, cell solubles, SLA
Andropogon gerardi, graminoid, no, fine roots, 6, 27.56, 0.53, 52.0,
Drypetes glauca, evergreen, no, fine roots, 6, 39.894, 0.61, 65.4,
Pinus elliotti, evergreen, no, fine roots, 6, 40.61, 0.62, 65.5,
