Time, Cs_ambient, Cs_reduced, Sk_ambient, Sk_reduced
0,100,100,100,100
31,100.722,99.373,103.714,101.976
57,86.963,89.466,91.613,93.161
88,84.001,84.398,97.249,92.022
117,82.066,82.954,82.764,87.882
318,77.833,76.203,79.708,84.366
346,76.3,76.814,79.065,83.762
384,77.352,82.697,86.413,88.518
409,76.057,80.069,83.858,85.865
474,58.029,74.784,78.738,94.088
711,57.513,69.602,68.266,82.015
787,50.923,70.389,63.305,78.422
880,43.116,57.935,61.191,77.704
