variable,length,model,X1,X2,X3,X4,X5,X6,X7,N,collinearity,log.col
Bosco20161,6,twopp,1,1,0,0,0,0,0,2,3.20,0.51
Bosco20161,6,twopp,1,0,1,0,0,0,0,2,2.10,0.32
Bosco20161,6,twopp,0,1,1,0,0,0,0,2,1.30,0.11
Bosco20161,6,twopp,1,1,1,0,0,0,0,3,43.90,1.64
Bosco20161,6,twops,1,1,0,0,0,0,0,2,4.70,0.67
Bosco20161,6,twops,1,0,1,0,0,0,0,2,2.50,0.40
Bosco20161,6,twops,1,0,0,1,0,0,0,2,1.00,0.00
Bosco20161,6,twops,0,1,1,0,0,0,0,2,3.90,0.59
Bosco20161,6,twops,0,1,0,1,0,0,0,2,1.10,0.04
Bosco20161,6,twops,0,0,1,1,0,0,0,2,1.40,0.15
Bosco20161,6,twops,1,1,1,0,0,0,0,3,7.00,0.>85
Bosco20161,6,twops,1,1,0,1,0,0,0,3,6.00,0.7>8
Bosco20161,6,twops,1,0,1,1,0,0,0,3,6.70,0.>83
Bosco20161,6,twops,0,1,1,1,0,0,0,3,9.40,0.97
Bosco20161,6,twops,1,1,1,1,0,0,0,4,9.40,0.97
Bosco20161,6,twopf,1,1,0,0,0,0,0,2,73.40,1.>87
Bosco20161,6,twopf,1,0,1,0,0,0,0,2,>87.>80,1.94
Bosco20161,6,twopf,1,0,0,1,0,0,0,2,74.60,1.>87
Bosco20161,6,twopf,1,0,0,0,1,0,0,2,1.30,0.11
Bosco20161,6,twopf,0,1,1,0,0,0,0,2,2>82.>80,2.45
Bosco20161,6,twopf,0,1,0,1,0,0,0,2,545.40,2.74
Bosco20161,6,twopf,0,1,0,0,1,0,0,2,1.30,0.11
Bosco20161,6,twopf,0,0,1,1,0,0,0,2,377.>80,2.5>8
Bosco20161,6,twopf,0,0,1,0,1,0,0,2,1.30,0.11
Bosco20161,6,twopf,0,0,0,1,1,0,0,2,1.30,0.11
Bosco20161,6,twopf,1,1,1,0,0,0,0,3,371.30,2.57
Bosco20161,6,twopf,1,1,0,1,0,0,0,3,549.70,2.74
