Entry,Model,X1,X2,X3,X4,N,Collinearity,Identifiable,Timepoints,log.col
Almagro2017,2ps,1,1,0,1,3,27.1,FALSE,5,1.432969291
Almagro2017,2ps,1,0,1,1,3,7049915.7,FALSE,5,6.848183924
Almagro2017,2ps,0,1,1,1,3,5936645.3,FALSE,5,6.773541102
Almagro2017,2ps,1,1,1,1,4,11181583.1,FALSE,5,7.048503296
Andersen2006,2pp,1,1,0,,2,1.8,TRUE,7,0.255272505
Andersen2006,2pp,1,0,1,,2,2.5,TRUE,7,0.397940009
Andersen2006,2pp,0,1,1,,2,5.9,TRUE,7,0.770852012
Andersen2006,2pp,1,1,1,,3,62.1,FALSE,7,1.7930916
Andersen2006,2ps,1,1,0,0,2,4.7,TRUE,7,0.672097858
Andersen2006,2ps,1,0,1,0,2,10.1,TRUE,7,1.004321374
Andersen2006,2ps,1,0,0,1,2,10.1,TRUE,7,1.004321374
Andersen2006,2ps,0,1,1,0,2,8.6,TRUE,7,0.934498451
Andersen2006,2ps,0,1,0,1,2,8.6,TRUE,7,0.934498451
Andersen2006,2ps,0,0,1,1,2,66749,FALSE,7,4.824444764
Andersen2006,2ps,1,1,1,0,3,292.7,FALSE,7,2.466422722
Andersen2006,2ps,1,1,0,1,3,293.5,FALSE,7,2.467608106
Andersen2006,2ps,1,0,1,1,3,122998.6,FALSE,7,5.089900168
Andersen2006,2ps,0,1,1,1,3,114252.2,FALSE,7,5.057864571
Andersen2006,2ps,1,1,1,1,4,292235.3,FALSE,7,5.465732675
Aponte2012,2pp,1,1,0,,2,1.1,TRUE,5,0.041392685
Aponte2012,2pp,1,0,1,,2,1.4,TRUE,5,0.146128036
Aponte2012,2pp,0,1,1,,2,3.6,TRUE,5,0.556302501
Aponte2012,2pp,1,1,1,,3,6.7,TRUE,5,0.826074803
Aponte2012,2ps,1,1,0,0,2,2.6,TRUE,5,0.414973348
Aponte2012,2ps,1,0,1,0,2,6.3,TRUE,5,0.799340549
Aponte2012,2ps,1,0,0,1,2,6.3,TRUE,5,0.799340549
Aponte2012,2ps,0,1,1,0,2,4.1,TRUE,5,0.612783857
Aponte2012,2ps,0,1,0,1,2,4.1,TRUE,5,0.612783857
Aponte2012,2ps,0,0,1,1,2,471724.1,FALSE,5,5.673688065
Aponte2012,2ps,1,1,1,0,3,19.9,TRUE,5,1.298853076
Aponte2012,2ps,1,1,0,1,3,19.9,TRUE,5,1.298853076
Aponte2012,2ps,1,0,1,1,3,1877984.7,FALSE,5,6.27369205
Aponte2012,2ps,0,1,1,1,3,730772.6,FALSE,5,5.863782255
Aponte2012,2ps,1,1,1,1,4,7186311.4,FALSE,5,6.856506032
Araujo2012,2pp,1,1,0,,2,1.1,TRUE,7,0.041392685
Araujo2012,2pp,1,0,1,,2,1.3,TRUE,7,0.113943352
Araujo2012,2pp,0,1,1,,2,2.8,TRUE,7,0.447158031
Araujo2012,2pp,1,1,1,,3,3.6,TRUE,7,0.556302501
Araujo2012,2ps,1,1,0,0,2,2.1,TRUE,7,0.322219295
Araujo2012,2ps,1,0,1,0,2,5.8,TRUE,7,0.763427994
Araujo2012,2ps,1,0,0,1,2,5.8,TRUE,7,0.763427994
Araujo2012,2ps,0,1,1,0,2,3,TRUE,7,0.477121255
Araujo2012,2ps,0,1,0,1,2,3,TRUE,7,0.477121255
Araujo2012,2ps,0,0,1,1,2,1303514.8,FALSE,7,6.115115966
Araujo2012,2ps,1,1,1,0,3,11.1,TRUE,7,1.045322979
Araujo2012,2ps,1,1,0,1,3,11.1,TRUE,7,1.045322979
Araujo2012,2ps,1,0,1,1,3,2848797,FALSE,7,6.454661503
Araujo2012,2ps,0,1,1,1,3,1427412.4,FALSE,7,6.154549465
Araujo2012,2ps,1,1,1,1,4,6672232.4,FALSE,7,6.824271165
Araujo2015,2pp,1,1,0,,2,1.1,TRUE,5,0.041392685
Araujo2015,2pp,1,0,1,,2,1.5,TRUE,5,0.176091259
Araujo2015,2pp,0,1,1,,2,2.9,TRUE,5,0.462397998
Araujo2015,2pp,1,1,1,,3,4.5,TRUE,5,0.653212514
Araujo2015,2ps,1,1,0,0,2,2.2,TRUE,5,0.342422681
Araujo2015,2ps,1,0,1,0,2,5.7,TRUE,5,0.755874856
Araujo2015,2ps,1,0,0,1,2,5.7,TRUE,5,0.755874856
Araujo2015,2ps,0,1,1,0,2,3.3,TRUE,5,0.51851394
Araujo2015,2ps,0,1,0,1,2,3.3,TRUE,5,0.51851394
Araujo2015,2ps,0,0,1,1,2,275500,FALSE,5,5.440121603
Araujo2015,2ps,1,1,1,0,3,15.2,TRUE,5,1.181843588
Araujo2015,2ps,1,1,0,1,3,15.2,TRUE,5,1.181843588
Araujo2015,2ps,1,0,1,1,3,781847.9,FALSE,5,5.893122274
Araujo2015,2ps,0,1,1,1,3,360330.7,FALSE,5,5.556701265
Araujo2015,2ps,1,1,1,1,4,2866035.5,FALSE,5,6.457281565
Arriaga2007,2pp,1,1,0,,2,1.3,TRUE,13,0.113943352
Arriaga2007,2pp,1,0,1,,2,1.7,TRUE,13,0.230448921
Arriaga2007,2pp,0,1,1,,2,4.6,TRUE,13,0.662757832
Arriaga2007,2pp,1,1,1,,3,11.1,TRUE,13,1.045322979
Arriaga2007,2ps,1,1,0,0,2,3.4,TRUE,13,0.531478917
Arriaga2007,2ps,1,0,1,0,2,7.4,TRUE,13,0.86923172
Arriaga2007,2ps,1,0,0,1,2,7.4,TRUE,13,0.86923172
Arriaga2007,2ps,0,1,1,0,2,6.1,TRUE,13,0.785329835
Arriaga2007,2ps,0,1,0,1,2,6.1,TRUE,13,0.785329835
Arriaga2007,2ps,0,0,1,1,2,3008730.9,FALSE,13,6.478383346
Arriaga2007,2ps,1,1,1,0,3,46.6,FALSE,13,1.668385917
