Time,EoC,EoW,EoN,EoWN,SsaC,SsaW,SsaN,SsaWN,SsuC,SsuW,SsuN,SsuWN,PcC,PcW,PcN,PcWN,KcC,KcW,KcN,KcWN,NsC,NsW,NsN,NsWN,EoFi,EoCo,SsaFi,SsaCo
0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
0.5,77.26,77.81,75.34,79.46,86.73,92.15,90.25,93.77,78.01,81.56,75.54,75.54,81.89,84.34,84.61,79.44,77.64,76.82,80.91,86.09,87.05,90.61,88.97,90.07,72.89,77.85,86.97,90.61
0.7,55.33,48.74,45.44,41.05,76.44,84.3,79.96,85.38,47.05,47.87,40.48,45.41,54.47,50.67,53.38,56.92,56.91,73.82,63.73,58.27,65.76,64.67,64.12,62.2,47.88,48.40,82.01,81.75
1,52.11,43.32,40.02,43.32,76.99,82.67,78.34,82.4,43.45,40.99,38.25,38.25,43.64,46.36,41.47,53.15,56.36,68.91,53.09,54.73,59.82,56.26,60.64,60.37,42.93,44.75,79.93,80.45
1.5,36.84,37.94,36.29,39.59,72.92,72.65,68.32,74.55,31.06,38.45,36.26,31.61,36.92,43.44,41.26,39.9,50.36,59.09,52.82,55.55,52.57,56.4,53.39,52.29,39.28,37.98,78.37,72.37
1.7,34.69,33.32,31.95,34.97,73.74,69.13,68.59,71.03,23.92,26.38,24.74,23.37,35.86,42.65,30.69,35.86,48.73,52,53.36,54.73,48.79,55.36,49.89,51.52,36.15,34.07,78.89,70.81
