Time,Bb,Sb,Cs,Ce,Ca1,Ca2,Ca3
0,100,100,100,100,100,100,100
30,77.371,67.2765,49.2585,61.861,77.141,72.6,77.3795
60,69.0615,60.773,37.361,52.1475,72.363,68.2775,68.7225
90,60.3325,56.735,34.8035,41.896,64.2785,60.6365,65.1205
120,55.2305,52.734,32.994,38.193,54.5855,58.587,62.3365
150,38.405,48.086,31.7745,30.0875,52.5655,50.9995,54.822
