species,type,N-fixer,material,amount,carbon,nitrogen,C:N,phosphorus,potassium,sodium,magnesium,manganese,copper,zinc,lead,calcium,sulfur,iron,lignin,cellulose,hemicellulose,cell solubles,SLA
Brachiaria brizantha,graminoid,no,aboveground parts,20
Sorghum bicolor,graminoid,no,aboveground parts,20
Crotalaria sericea,forb,yes,aboveground parts,20
Canavalia ensiformis,forb,yes,aboveground parts,20
Cenchrus americanus,graminoid,no,aboveground parts,20
