Time,PFST,PBST,PBSB,PFSB,MFST,MBST,MBSB,MFSB,NFST,NBST,NBSB,NFSB,PNFST,PNBST,PNBSB,PNFSB
0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
0.5,97.988,99.951,99.905,96.42,96.172,97.133,98,95.915,97.686,99.746,99.436,97.387,93.865,93.833,97.456,94.372
1,79.832,91.534,95.476,87.041,83.514,85.897,90.167,85.436,79.326,85.666,89.138,80.569,69.958,73.601,83.84,80.204
1.5,71.908,84.781,89.746,71.782,71.407,76.963,83.075,74.046,67.471,74.64,81.115,70.067,57.994,64.825,76.253,51.797
2,67.579,85.002,83.814,62.623,62.508,75.909,83.992,69.37,61.995,72.334,78.248,60.549,48.655,65.449,74.87,49.214
