Time,HBT,HBB,TBT,TBB,PBT,PBB,HST,HSB,TST,TSB,PST,PSB,HTT,HTB,TTT,TTB,PTT,PTB
0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
6,67.51,81.08,65.47,70.35,89.29,90.99,72.77,88.09,67.45,67.66,88.3,93.19,93.19,89.15,72.77,71.7,99.15,96.6
8,56.62,79.31,64.34,72.18,72.9,93.04,58.3,89.79,64.26,73.83,85.11,93.62,85.32,86.38,72.98,72.77,91.49,95.11
10,48.92,73.94,58.12,66.81,72.4,93.6,53.19,76.38,56.81,71.91,72.55,94.68,84.47,88.09,70.43,72.34,90,94.26
12,42.7,70.69,57.41,68.44,59.61,91.62,41.28,73.83,56.81,70.21,69.36,91.49,74.04,84.89,69.15,72.55,87.23,92.13
