species, type, N-fixer, material, amount, carbon, nitrogen, C:N, phosphorus, potassium, sodium, magnesium, manganese, copper, zinc, lead, calcium, sulfur, iron, lignin, cellulose, hemicellulose, cell solubles, SLA
Ribes aureum, deciduous, no, leaves,,,, 13.02,
Bromus diandrus, graminoid, no, leaves,,,, 60.88,,,,,,,,,,,,3.19
