Time,RGU,RGB,RSU,RSB,RTU,RTB,BGU,BGB,BSU,BSB,BTU,BTB
0,100,100,100,100,100,100,100,100,100,100,100,100
2,93.276,90.137,96.511,97.819,94.475,95.046,97.613,97.236,99.187,97.468,99.293,98.658
4,70.216,71.37,79.177,78.111,86.077,77.236,93.609,92.082,95.391,94.745,98.142,93.309
6,37.364,53.187,59.712,46.806,67.956,56.677,81.038,77.311,81.654,80.167,91.67,73.825
12,37.408,34.293,44.255,44.048,60,39.552,75.088,61.732,73.768,62.517,86.377,66.729
