Time,GR0,GR50,GR75,GR100
0,100,100,100,100
1,92.75,92.32,93.6,92.75
3,60.53,61.17,60.11,59.25
6,39.2,37.71,35.15,32.8
12,29.39,34.51,36.21,32.8
