species,type,N-fixer,material,amount,carbon,nitrogen,C:N,phosphorus,potassium,sodium,magnesium,manganese,copper,zinc,lead,calcium,sulfur,iron,lignin,cellulose,hemicellulose,cell solubles,SLA
Citrus aurontifolia,evergreen,no,leaves,20,49.3,2.17,22.7,,,,,,,,,,,,19.8,14.4
Aegle marmelos,evergreen,no,leaves,20,43.0,1.66,25.9,,,,,,,,,,,,15.4,4.7
Cordia myxa,evergreen,no,leaves,20,49.5,0.93,53.1,,,,,,,,,,,,45.5,17.2
