Time,LPP,LPS,LSS,LSP,RPP,RPS,RSS,RSP
0,100,100,100,100,100,100,100,100
4,61.7,74.98,81.02,69.85,73.9,82.9,82.9,78.1
9,51.6,60.06,68.81,63.98,57.7,58,72.1,68.2
16,32.45,42.11,63.85,52.98,49,49,61.9,63.1
21,32.32,41.38,64.02,51.95,34,37.3,52,54.1
