species, type, N-fixer, material, amount, carbon, nitrogen, C:N, phosphorus, potassium, sodium, magnesium, manganese, copper, zinc, lead, calcium, sulfur, lignin, cellulose, hemicellulose, cell solubles, SLA
mixture,,no,leaves, 1,,,,,,,,,,,,,,,,,,
Larrea divaricata, evergreen, yes, leaves, 1,,,,,,,,,,,,,,,,,,
