Time,FPs,FF,FK,FPp,MPs,MB,MH,MK,CPs,CF,CH,CK,CPp,FNG,FG,CNG,CG
0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
1,81.547,81.514,82.293,82.255,75.678,74.723,82.752,80.537,82.163,72.534,76.713,75.963,70.791,79.195,78.031,82.791,78.411
3,68.125,66.339,72.589,61.959,62.775,58.139,64.858,67.741,76.923,60.384,62.098,60.708,52.743,69.716,64.765,61.267,60.056
6,65.863,61.298,64.055,58.432,67.435,62.464,70.948,65.132,69.806,64.033,64.364,61.966,56.931,64.43,62.728,63.067,64.727
12,55.546,55.925,57.718,47.779,60.763,51.17,59.4,57.167,57.171,49.562,55.119,47.43,45.274,57.718,54.449,56.19,51.655
18,36.534,28.638,31.835,27.635,39.76,23.022,32.281,31.062,32.356,22.556,29.923,27.818,22.414,36.577,27.643,31.08,26.029
