Time,Co,Ao,Db,Ic,Pm
0,100,100,100,100,100
4,64.41,90.00,94.32,87.75,90.00
8,48.33,87.23,93.98,81.01,88.96
12,36.92,78.41,92.77,78.07,89.14
16,37.78,64.24,93.80,77.03,86.71
