species, type, N-fixer, material, amount, carbon, nitrogen, C:N, phosphorus, potassium, sodium, magnesium, manganese, copper, zinc, lead, calcium, sulfur, iron, lignin, cellulose, hemicellulose, cell solubles, SLA
Chromolaena odorata, deciduous, no, leaves, 5, 44, 0.49, 89.8, 0.24, 2.8, 1.7, 0.96,,,,,1
Anacardium occidentale, evergreen, no, leaves, 5, 43.5, 1.48, 29.4, 0.11, 0.7, 0.75, 0.6,,,,,0.4
Dactyladenia barteri, evergreen, no, leaves, 5, 42.5, 1.32, 32.2, 0.1, 1, 0.65, 0.72,,,,,0.6,,,28.9
Imperata cylindrica, graminoid, no, leaves, 5, 46, 0.76, 60.5, 0.19, 1.3, 0.6, 0.6,,,,,0.4
Pentaclethra macrophylla, evergreen, yes, leaves, 5, 42, 2.63, 16, 0.13, 0.8, 0.83, 0.72,,,,,0.4
