Time,FF,SF,FG,SG
0,100,100,100,100
25,64.179,82.161,73.568,91.05
55,49.704,77.137,70.531,82.596
85,37.31,71.183,49.401,77.246
115,43.11,70.558,52.222,80.497
150,37.108,67.52,42.712,71.691
180,18.721,65.007,33.294,73.596
210,22.924,66.905,31.338,71.263
240,15.087,65.143,29.115,69.509
270,16.731,65.056,25.718,73.891
300,12.729,62.76,6.008,71.967
335,10.475,55.679,4.16,60.535
365,14.5,47.212,2.171,50.764
