Time,SAD,DI,RW
0,100,100,100
1,97.324,97.381,79.615
2,95.65,95.714,75.68
3,93.571,91.875,66.268
4,91.429,89.999,54.221
5,88.333,86.864,52.592
6,86.19,85,47.801
7,81.083,72.533,45
8,77.314,60.406,40
9,74.966,51.737,37.143
10,74.048,48.39,34.013
11,73.304,45.714,31.892
12,71.19,41.635,28.589
13,68.063,39.969,26.905
14,66.905,38.75,24.96
15,60.748,37.857,20.117
16,55,38.329
17,54.286,36.175
18,51.905,34.033
19,49.048,31.173
20,45.238,28.198
21,41.19,24.891
22,37.381,23.034
