Time,C08,UC08,C09,UC09
0,100,100,100,100
7,,,102.68,94.63
14,107.45,89.07,107.72,98.99
23,,,103.36,69.13
28,90.19,82.41,93.62,74.16
39,,,98.99,57.72
44,83.18,53.49,77.18,47.99
55,,,79.87,30.87
59,78.99,39.06,81.21,28.19
71,,,83.56,36.91
74,76.58,32.05,,
79,,,74.5,28.19
88,74.86,27.16,70.13,29.87
95,,,48.32,23.83
104,66.79,15.9,56.04,12.75
112,,,55.37,10.4
119,64.02,13.84,32.21,8.05
128,,,28.52,4.03
134,52.42,12.13,,
149,50,9.36,,
