species, type, N-fixer, material, amount, carbon, nitrogen, C:N, phosphorus, potassium, sodium, magnesium, manganese, copper, zinc, lead, calcium, sulfur, iron, lignin, cellulose, hemicellulose, cell solubles, SLA
Mimosa caesalpiniifolia, deciduous, yes, leaves, 10,,,,,,,,,,,,,,, 9
Auxemma oncocalyx, deciduous, no, leaves, 10,,,,,,,,,,,,,,, 22
Caesalpinia pyramidalis, deciduous, no, leaves, 10,,,,,,,,,,,,,,, 10
Brachiaria mollis, graminoid, no, green leaves, 10
Wissadula spp., forb, no, green leaves, 10,,,,,,,,,,,,,,, 11
Blainvillea rhomboidea, forb, no, green leaves, 10,,,,,,,,,,,,,,, 9
