species, type, N-fixer, material, amount, carbon, nitrogen, C:N, phosphorus, potassium, sodium, magnesium, manganese, copper, zinc, lead, lignin, cellulose, hemicellulose, cell solubles, SLA
 Stipa tenacissima, graminoid, no, leaves, 2, 47.28, 0.18, 258.89,,,,,,,,, 5.00, 49.68, 27.87, 17.44,
 Retama sphaerocarpa, evergreen, yes, leaves, 2, 48.76, 2.88, 16.94,,,,,,,,, 4.62, 24.35, 12.43, 49.90,
