Time,Ll,Cc
0,100,100
0.5,59.869,83.351
1,51.373,82.073
1.5,54.899,83.021
2,54.369,82.243
2.5,49.824,76.961
3,54.932,81.431
3.5,50.506,71.406
4,46.874,72.062
4.5,39.291,72.026
5,35.518,64.607
5.5,36.503,60.94
6,35.449,55.589
7,25.578,33.732
8,29.678,35.115
9,29.486,38.445
10,27.974,41.307
11,30.786,34.25
12,28.695,35.13
